,X,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,REG
1,CommLandings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central
2,TotCatch,8.76,13.30,14.55,12.25,7.04,4.64,4.78,7.67,9.33,7.60,7.58,Central
3,OFL,NA,NA,NA,NA,NA,20.25,20.63,20.99,21.17,21.24,21.41,Central
4,ACL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central
5,1-SPR,0.39,0.20,0.15,0.23,0.47,0.62,0.62,0.46,0.38,0.46,0.47,Central
6,ExploitationRate,0.47,0.72,0.79,0.67,0.39,0.25,0.26,0.40,0.49,0.40,0.39,Central
7,A10+Biomass,382.08,384.10,381.88,378.59,377.54,381.29,387.10,392.54,395.12,396.04,398.44,Central
8,SpawnBiomass,40.12,40.38,40.11,39.71,39.57,40.03,40.75,41.44,41.78,41.91,42.22,Central
9,Spawnbio95CI,27--53,27--53,27--53,27--53,26--53,27--53,28--54,28--55,29--55,29--55,29--55,Central
10,Rec,68.17,68.22,68.17,68.09,68.06,68.15,68.29,68.41,68.47,68.50,68.55,Central
11,Rec95CI,54.47--81.87,54.53--81.91,54.46--81.88,54.36--81.82,54.32--81.8,54.43--81.87,54.59--81.99,54.74--82.08,54.81--82.13,54.84--82.16,54.9--82.2,Central
12,Depletion,0.62,0.62,0.62,0.61,0.61,0.62,0.63,0.64,0.64,0.64,0.65,Central
13,Depl95CI,68.09--68.25,68.15--68.29,68.09--68.25,68.01--68.17,67.98--68.14,68.07--68.23,68.21--68.37,68.34--68.48,68.4--68.54,68.43--68.57,68.48--68.62,Central
14,CommLandings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North
15,TotCatch,3.68,3.26,2.96,3.40,3.02,1.97,2.03,2.68,2.87,2.87,2.87,North
16,OFL,NA,NA,NA,NA,NA,10.31,10.37,10.44,10.46,10.46,10.47,North
17,ACL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North
18,1-SPR,0.44,0.49,0.52,0.47,0.52,0.65,0.65,0.55,0.53,0.53,0.53,North
19,ExploitationRate,0.44,0.39,0.35,0.41,0.36,0.24,0.24,0.32,0.34,0.34,0.34,North
20,A10+Biomass,183.49,182.90,182.72,182.82,182.52,182.58,183.59,184.50,184.73,184.77,184.79,North
21,SpawnBiomass,18.06,17.99,17.97,17.98,17.94,17.95,18.07,18.18,18.21,18.22,18.23,North
22,Spawnbio95CI,9--27,9--27,9--27,9--27,9--27,9--27,9--27,9--27,9--27,9--27,9--27,North
23,Rec,33.31,33.30,33.29,33.29,33.29,33.29,33.31,33.33,33.33,33.34,33.34,North
24,Rec95CI,21.36--45.26,21.34--45.26,21.33--45.25,21.33--45.25,21.33--45.25,21.33--45.25,21.35--45.27,21.38--45.28,21.38--45.28,21.39--45.29,21.39--45.29,North
25,Depletion,0.74,0.74,0.74,0.74,0.73,0.73,0.74,0.74,0.75,0.75,0.75,North
26,Depl95CI,33.21--33.41,33.2--33.4,33.19--33.39,33.19--33.39,33.19--33.39,33.19--33.39,33.21--33.41,33.24--33.42,33.24--33.42,33.25--33.43,33.25--33.43,North
27,CommLandings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South
28,TotCatch,20.44,17.01,15.60,11.29,12.44,13.11,13.11,12.94,13.71,13.32,13.32,South
29,OFL,NA,NA,NA,NA,NA,12.93,13.37,13.81,14.26,14.67,15.11,South
30,ACL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South
31,1-SPR,-0.34,-0.25,-0.20,-0.02,-0.04,-0.06,-0.04,-0.01,-0.02,0.01,0.03,South
32,ExploitationRate,1.70,1.41,1.27,0.90,0.96,0.98,0.96,0.93,0.96,0.91,0.89,South
33,A10+Biomass,253.37,254.50,258.52,263.64,272.36,280.18,287.26,294.24,301.52,308.08,314.91,South
34,SpawnBiomass,16.36,16.44,16.76,17.17,17.90,18.57,19.19,19.82,20.47,21.07,21.70,South
35,Spawnbio95CI,11--22,11--22,11--23,11--23,12--24,12--25,13--26,13--26,14--27,14--28,15--29,South
36,Rec,126.27,126.42,126.99,127.71,128.94,129.99,130.92,131.82,132.70,133.47,134.24,South
37,Rec95CI,109.96--142.58,109.97--142.87,110.52--143.46,111.29--144.13,112.72--145.16,113.95--146.03,115.04--146.8,116.11--147.53,117.15--148.25,118.06--148.88,118.98--149.5,South
38,Depletion,0.25,0.25,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,South
39,Depl95CI,126.21--126.33,126.36--126.48,126.93--127.05,127.64--127.78,128.87--129.01,129.92--130.06,130.85--130.99,131.75--131.89,132.63--132.77,133.4--133.54,134.17--134.31,South
