"Years","Spawning Output","95% Asymptotic Interval","Estimated Depletion (%)","95% Asymptotic Interval"
2003,"17.7","17.7–17.7","72.4","72.4–72.4"
2004,"17.8","17.8–17.8","72.8","72.8–72.8"
2005,"17.9","17.9–17.9","73.2","73.2–73.2"
2006,"17.9","17.9–17.9","73.4","73.4–73.4"
2007,"18.0","18.0–18.0","73.8","73.8–73.8"
2008,"18.0","18.0–18.0","73.8","73.8–73.8"
2009,"18.0","18.0–18.0","73.8","73.8–73.8"
2010,"18.1","18.1–18.1","73.9","73.9–73.9"
2011,"18.0","18.0–18.0","73.6","73.6–73.6"
2012,"18.0","18.0–18.0","73.5","73.5–73.5"
2013,"18.0","18.0–18.0","73.6","73.6–73.6"
2014,"17.9","17.9–17.9","73.4","73.4–73.4"
2015,"17.9","17.9–17.9","73.4","73.4–73.4"
