"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,0.72,"#sum_for_2021: 16.07"
2021,1,2,0.5,""
2021,1,3,8.35,""
2021,1,4,6.31,""
2021,1,5,0.19,""
2022,1,1,0.72,"#sum_for_2022: 16.08"
2022,1,2,0.5,""
2022,1,3,8.35,""
2022,1,4,6.32,""
2022,1,5,0.19,""
2023,1,1,0.72,"#sum_for_2023: 16.06"
2023,1,2,0.5,""
2023,1,3,8.34,""
2023,1,4,6.32,""
2023,1,5,0.18,""
2024,1,1,0.72,"#sum_for_2024: 16.08"
2024,1,2,0.51,""
2024,1,3,8.34,""
2024,1,4,6.33,""
2024,1,5,0.18,""
2025,1,1,0.72,"#sum_for_2025: 16.07"
2025,1,2,0.51,""
2025,1,3,8.33,""
2025,1,4,6.33,""
2025,1,5,0.18,""
2026,1,1,0.72,"#sum_for_2026: 16.07"
2026,1,2,0.51,""
2026,1,3,8.33,""
2026,1,4,6.33,""
2026,1,5,0.18,""
2027,1,1,0.72,"#sum_for_2027: 16.07"
2027,1,2,0.51,""
2027,1,3,8.32,""
2027,1,4,6.34,""
2027,1,5,0.18,""
2028,1,1,0.72,"#sum_for_2028: 16.08"
2028,1,2,0.52,""
2028,1,3,8.32,""
2028,1,4,6.34,""
2028,1,5,0.18,""
2029,1,1,0.72,"#sum_for_2029: 16.08"
2029,1,2,0.52,""
2029,1,3,8.32,""
2029,1,4,6.34,""
2029,1,5,0.18,""
2030,1,1,0.72,"#sum_for_2030: 16.08"
2030,1,2,0.52,""
2030,1,3,8.32,""
2030,1,4,6.34,""
2030,1,5,0.18,""
