"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,20.41,"32.5%","South","high","upper"
2016,NA,NA,21.09,"33.5%","South","high","upper"
2017,NA,NA,21.77,"34.6%","South","high","upper"
2018,NA,NA,22.47,"35.7%","South","high","upper"
2019,NA,NA,23.11,"36.7%","South","high","upper"
2020,NA,NA,23.77,"37.8%","South","high","upper"
2021,18.91,18.79,24.42,"38.8%","South","high","upper"
2022,19.08,18.8,24.64,"39.2%","South","high","upper"
2023,19.24,18.8,24.84,"39.5%","South","high","upper"
2024,19.4,18.79,25.04,"39.8%","South","high","upper"
2025,19.55,18.8,25.24,"40.1%","South","high","upper"
2026,19.71,18.8,25.43,"40.4%","South","high","upper"
2027,19.86,18.8,25.63,"40.7%","South","high","upper"
2028,20.01,18.79,25.83,"41.1%","South","high","upper"
2029,20.17,18.81,26.03,"41.4%","South","high","upper"
2030,20.33,18.8,26.24,"41.7%","South","high","upper"
