"#Year","Seas","Fleet","dead(B)","comment"
2021,1,1,3.84,"#sum_for_2021: 7.1"
2021,1,2,0.55,""
2021,1,3,2.71,""
2022,1,1,3.84,"#sum_for_2022: 7.09"
2022,1,2,0.55,""
2022,1,3,2.7,""
2023,1,1,3.85,"#sum_for_2023: 7.1"
2023,1,2,0.55,""
2023,1,3,2.7,""
2024,1,1,3.85,"#sum_for_2024: 7.1"
2024,1,2,0.55,""
2024,1,3,2.7,""
2025,1,1,3.86,"#sum_for_2025: 7.1"
2025,1,2,0.55,""
2025,1,3,2.69,""
2026,1,1,3.86,"#sum_for_2026: 7.09"
2026,1,2,0.54,""
2026,1,3,2.69,""
2027,1,1,3.87,"#sum_for_2027: 7.09"
2027,1,2,0.54,""
2027,1,3,2.68,""
2028,1,1,3.88,"#sum_for_2028: 7.1"
2028,1,2,0.54,""
2028,1,3,2.68,""
2029,1,1,3.88,"#sum_for_2029: 7.09"
2029,1,2,0.54,""
2029,1,3,2.67,""
